date,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10
1972-08,0.0526199946829319,0.0594784466804771,0.06467576563791859,0.06514319948401082,0.06455404499486564,0.06484428099901995,0.06593517092606332,0.06464322377592063,0.06426700199598667,0.06656499572292629
1972-09,0.05487653881399859,0.06039866111985921,0.06243629806242369,0.06325384286119409,0.06338579001353942,0.0656754139608054,0.06754038930842104,0.06878150583318016,0.06966492503881305,0.06995889745748929
1972-10,0.053575444376686605,0.061123057195336596,0.0631674199595209,0.06456969525594591,0.06287466377738396,0.06400367732601886,0.06515639730762812,0.06545676502440945,0.06610982182516878,0.06696458079669787
1972-11,0.0527703271315641,0.0592161151197831,0.0636244321957647,0.06304411626720327,0.061707069311317864,0.06216552557250893,0.06353586544019851,0.0645038602643459,0.06563392806675572,0.06651047942304089
1972-12,0.0550397983538698,0.0616963146343938,0.06363701435971793,0.06260047467633448,0.0625179198613065,0.06351335829953669,0.06382102003157253,0.06367057601351711,0.06471184041950384,0.0663159875924203
1973-01,0.0598419767327902,0.0642406544502804,0.06484256505900741,0.06461462372018642,0.06274081353730959,0.06214800707957002,0.06263317144092223,0.0642750614848881,0.06608207415144796,0.06766478555694178
1973-02,0.062352008399486805,0.0681598403704076,0.06711194817290606,0.06753493023027951,0.064519288305522,0.06426840083554186,0.06387758103545266,0.06149258509232908,0.05981307685938553,0.061527781683866856
1973-03,0.0683792987607538,0.06780339547444458,0.06553017552270843,0.06640032336108959,0.06441261158988465,0.06548914446611714,0.06546825278495122,0.06308203105812982,0.06114217892869245,0.06132083343975425
1973-04,0.0661470785667855,0.06658944636876749,0.06645828555024302,0.06562881753375599,0.06426692782891152,0.06658171323430911,0.06770703356695096,0.06524874458486918,0.06376969404561128,0.06428072626445391
1973-05,0.0694267092913286,0.0659877700067302,0.06401067588272699,0.06508842137013782,0.0659265672245809,0.06908833660437291,0.07115491606109081,0.06959541588391494,0.068183021538473,0.06652174508671982
1973-06,0.0753285575068884,0.06429661887897682,0.06672016757452717,0.06544393116936958,0.06504329930610758,0.06674756807328147,0.0681630724398683,0.06834618238223905,0.06783222083155027,0.06682715492476532
1973-07,0.0853342891778679,0.07379264395986829,0.07461243452664523,0.0755974960206438,0.0716480701098538,0.06749509421710159,0.06500984894167794,0.06518313135648146,0.06473469598010018,0.06443222895456191
1973-08,0.0826638581090929,0.06994817326043691,0.06513288198249628,0.06744234085530068,0.06784235661838273,0.06798330281917997,0.06936730589832452,0.06874383813602769,0.06647026156639813,0.0631746406518563
1973-09,0.0741859874855958,0.061706047868665986,0.06215919757428254,0.06550862467812851,0.06567851939966568,0.0669504479640387,0.06869992085751098,0.06851496560217984,0.06813287368775423,0.06738308684503869
1973-10,0.0714592787092304,0.062113279779428,0.06609263503857382,0.06628663799615936,0.06599134705961995,0.06593754631480392,0.06511284129896572,0.06397268327107969,0.06414445130220736,0.06495069577514179
1973-11,0.0748101890048614,0.059207224509322406,0.0644413394835999,0.06550350120130427,0.06731936594443705,0.06833739092199798,0.06463707360404441,0.06265646207815817,0.06410321643114125,0.06669041561768108
1973-12,0.0719154137301293,0.0628478727208133,0.06483282501988699,0.06639764734912959,0.06697073373342732,0.06667607650954749,0.06572779421630076,0.06597664323455327,0.0685091542650359,0.07203154028476
